step,rlinf_loss,ref_loss,abs_delta,rlinf_lr,rlinf_grad_norm
391,0.011631,0.020264,0.008633,9.790209333004896e-06,0.17027
392,0.01173,0.016235,0.004505,9.815185876504984e-06,0.14109
393,0.01371,0.015869,0.002159,9.840158782026265e-06,0.15302
394,0.01445,0.016479,0.002029,9.865135325526353e-06,0.1745
395,0.010658,0.018799,0.008141,9.890110050037038e-06,0.14622
396,0.016607,0.024292,0.007685,9.915084774547722e-06,0.14983
397,0.015491,0.025269,0.009777,9.940059499058407e-06,0.19294
398,0.012814,0.031128,0.018314,9.965035133063793e-06,0.12416
399,0.009583,0.025024,0.015442,9.990009857574478e-06,0.13299
400,0.014301,0.018188,0.003887,1.0014984582085162e-05,0.11635
401,0.019386,0.021851,0.002464,1.0039960216090549e-05,0.13942
402,0.012314,0.024902,0.012589,1.0064934940601233e-05,0.13749
403,0.013189,0.019897,0.006708,1.0089909665111918e-05,0.17335
404,0.016304,0.018921,0.002617,1.0114884389622603e-05,0.12606
405,0.01939,0.016113,0.003277,1.013986093312269e-05,0.16969
406,0.010597,0.013184,0.002586,1.0164833838643972e-05,0.15354
407,0.013962,0.016724,0.002762,1.018981038214406e-05,0.14598
408,0.013117,0.014526,0.00141,1.0214784197160043e-05,0.13836
409,0.014179,0.022827,0.008648,1.023975983116543e-05,0.17819
410,0.016483,0.024414,0.007931,1.0264735465170816e-05,0.12595
411,0.010773,0.017822,0.00705,1.02897101896815e-05,0.11636
412,0.020498,0.020508,1e-05,1.0314684914192185e-05,0.19242
413,0.02211,0.024658,0.002548,1.0339660548197571e-05,0.15592
414,0.013876,0.02417,0.010294,1.0364636182202958e-05,0.11834
415,0.014738,0.021484,0.006746,1.038960999721894e-05,0.1443
